Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2018,King,WA,Passenger,"16,288","6,537","22,825","1,378,606","1,401,431",1.63
December 31 2018,King,WA,Truck,6,1,7,"182,719","182,726",0.00
December 31 2018,Kitsap,WA,Truck,1,0,1,"53,666","53,667",0.00
December 31 2018,Kitsap,WA,Passenger,946,547,"1,493","179,887","181,380",0.82
December 31 2018,Kittitas,WA,Truck,0,0,0,"14,196","14,196",0.00
December 31 2018,Kittitas,WA,Passenger,66,37,103,"29,341","29,444",0.35
December 31 2018,Klickitat,WA,Passenger,28,32,60,"15,432","15,492",0.39
December 31 2018,Klickitat,WA,Truck,0,0,0,"8,213","8,213",0.00
December 31 2018,Lewis,WA,Passenger,93,77,170,"58,331","58,501",0.29
December 31 2018,Lewis,WA,Truck,0,0,0,"25,640","25,640",0.00
December 31 2018,Lincoln,WA,Truck,0,0,0,"4,638","4,638",0.00
December 31 2018,Lincoln,WA,Passenger,2,5,7,"7,785","7,792",0.09
December 31 2018,Mason,WA,Passenger,107,107,214,"46,470","46,684",0.46
December 31 2018,Mason,WA,Truck,0,0,0,"20,191","20,191",0.00
December 31 2018,Okanogan,WA,Passenger,16,22,38,"26,073","26,111",0.15
December 31 2018,Okanogan,WA,Truck,0,0,0,"16,488","16,488",0.00
December 31 2018,Pacific,WA,Passenger,21,25,46,"15,838","15,884",0.29
December 31 2018,Pacific,WA,Truck,0,0,0,"7,615","7,615",0.00
December 31 2018,Pend Oreille,WA,Truck,0,0,0,"5,737","5,737",0.00
December 31 2018,Pend Oreille,WA,Passenger,5,5,10,"9,537","9,547",0.10
December 31 2018,Pierce,WA,Passenger,"1,510","1,373","2,883","539,070","541,953",0.53
December 31 2018,Pierce,WA,Truck,0,0,0,"139,159","139,159",0.00
December 31 2018,San Juan,WA,Truck,0,0,0,"5,821","5,821",0.00
December 31 2018,San Juan,WA,Passenger,183,69,252,"14,225","14,477",1.74
December 31 2018,Skagit,WA,Passenger,259,187,446,"91,218","91,664",0.49
December 31 2018,Skagit,WA,Truck,1,0,1,"32,327","32,328",0.00
December 31 2018,Skamania,WA,Truck,0,0,0,"4,009","4,009",0.00
December 31 2018,Skamania,WA,Passenger,16,13,29,"8,735","8,764",0.33
December 31 2018,Snohomish,WA,Passenger,"2,915","1,441","4,356","527,357","531,713",0.82
December 31 2018,Snohomish,WA,Truck,1,0,1,"121,981","121,982",0.00
December 31 2018,Spokane,WA,Truck,1,0,1,"93,781","93,782",0.00
December 31 2018,Spokane,WA,Passenger,438,372,810,"307,253","308,063",0.26
December 31 2018,Stevens,WA,Passenger,16,27,43,"31,787","31,830",0.14
December 31 2018,Stevens,WA,Truck,0,0,0,"18,763","18,763",0.00
December 31 2018,Thurston,WA,Passenger,740,573,"1,313","195,676","196,989",0.67
December 31 2018,Thurston,WA,Truck,0,0,0,"54,882","54,882",0.00
December 31 2018,Wahkiakum,WA,Passenger,1,1,2,"2,979","2,981",0.07
December 31 2018,Wahkiakum,WA,Truck,0,0,0,"1,723","1,723",0.00
December 31 2018,Walla Walla,WA,Truck,0,0,0,"13,527","13,527",0.00
December 31 2018,Walla Walla,WA,Passenger,41,52,93,"36,115","36,208",0.26
December 31 2018,Whatcom,WA,Truck,2,0,2,"42,671","42,673",0.00
December 31 2018,Whatcom,WA,Passenger,760,371,"1,131","149,485","150,616",0.75
December 31 2018,Whitman,WA,Truck,0,0,0,"8,546","8,546",0.00
December 31 2018,Whitman,WA,Passenger,24,38,62,"22,828","22,890",0.27
December 31 2018,Yakima,WA,Truck,0,0,0,"58,850","58,850",0.00
December 31 2018,Yakima,WA,Passenger,82,99,181,"164,787","164,968",0.11
January 31 2019,Adams,WA,Passenger,5,6,11,"12,745","12,756",0.09
January 31 2019,Adams,WA,Truck,0,0,0,"5,143","5,143",0.00
January 31 2019,Asotin,WA,Truck,0,0,0,"6,646","6,646",0.00
January 31 2019,Asotin,WA,Passenger,12,9,21,"12,733","12,754",0.16
January 31 2019,Benton,WA,Passenger,232,243,475,"133,257","133,732",0.36
January 31 2019,Benton,WA,Truck,0,0,0,"41,621","41,621",0.00
January 31 2019,Chelan,WA,Passenger,140,63,203,"54,215","54,418",0.37
January 31 2019,Chelan,WA,Truck,0,0,0,"22,111","22,111",0.00
January 31 2019,Clallam,WA,Passenger,152,128,280,"50,420","50,700",0.55
January 31 2019,Clallam,WA,Truck,0,0,0,"21,633","21,633",0.00
January 31 2019,Clark,WA,Passenger,"1,315",870,"2,185","312,125","314,310",0.70
January 31 2019,Clark,WA,Truck,0,0,0,"79,973","79,973",0.00
January 31 2019,Columbia,WA,Truck,0,0,0,"1,530","1,530",0.00
January 31 2019,Columbia,WA,Passenger,2,2,4,"2,423","2,427",0.16
January 31 2019,Cowlitz,WA,Truck,0,0,0,"28,734","28,734",0.00
January 31 2019,Cowlitz,WA,Passenger,79,96,175,"72,565","72,740",0.24
January 31 2019,Douglas,WA,Passenger,51,35,86,"28,014","28,100",0.31
January 31 2019,Douglas,WA,Truck,0,0,0,"12,173","12,173",0.00
January 31 2019,Ferry,WA,Passenger,3,2,5,"4,389","4,394",0.11
January 31 2019,Ferry,WA,Truck,0,0,0,"3,590","3,590",0.00
January 31 2019,Franklin,WA,Truck,0,0,0,"19,130","19,130",0.00
January 31 2019,Franklin,WA,Passenger,49,68,117,"59,330","59,447",0.20
January 31 2019,Garfield,WA,Passenger,1,1,2,"1,332","1,334",0.15
January 31 2019,Garfield,WA,Truck,0,0,0,963,963,0.00
January 31 2019,Grant,WA,Truck,0,0,0,"26,327","26,327",0.00
January 31 2019,Grant,WA,Passenger,33,53,86,"64,380","64,466",0.13
January 31 2019,Grays Harbor,WA,Truck,0,0,0,"20,315","20,315",0.00
January 31 2019,Grays Harbor,WA,Passenger,67,76,143,"47,459","47,602",0.30
January 31 2019,Island,WA,Truck,0,0,0,"21,214","21,214",0.00
January 31 2019,Island,WA,Passenger,287,229,516,"63,284","63,800",0.81
January 31 2019,Jefferson,WA,Passenger,175,112,287,"24,865","25,152",1.14
January 31 2019,Jefferson,WA,Truck,0,0,0,"9,620","9,620",0.00
January 31 2019,King,WA,Truck,6,1,7,"182,460","182,467",0.00
January 31 2019,King,WA,Passenger,"17,175","6,686","23,861","1,381,470","1,405,331",1.70
January 31 2019,Kitsap,WA,Passenger,981,559,"1,540","180,001","181,541",0.85
January 31 2019,Kitsap,WA,Truck,1,0,1,"53,762","53,763",0.00
January 31 2019,Kittitas,WA,Truck,0,0,0,"14,236","14,236",0.00
January 31 2019,Kittitas,WA,Passenger,69,36,105,"29,465","29,570",0.36
January 31 2019,Klickitat,WA,Passenger,29,32,61,"15,487","15,548",0.39
January 31 2019,Klickitat,WA,Truck,0,0,0,"8,231","8,231",0.00
January 31 2019,Lewis,WA,Truck,0,0,0,"25,669","25,669",0.00
January 31 2019,Lewis,WA,Passenger,95,82,177,"58,371","58,548",0.30
January 31 2019,Lincoln,WA,Truck,0,0,0,"4,665","4,665",0.00
January 31 2019,Lincoln,WA,Passenger,2,5,7,"7,761","7,768",0.09
January 31 2019,Mason,WA,Truck,0,0,0,"20,222","20,222",0.00
January 31 2019,Mason,WA,Passenger,108,112,220,"46,670","46,890",0.47
January 31 2019,Okanogan,WA,Truck,0,0,0,"16,477","16,477",0.00
January 31 2019,Okanogan,WA,Passenger,18,21,39,"26,057","26,096",0.15
January 31 2019,Pacific,WA,Passenger,22,26,48,"15,887","15,935",0.30
January 31 2019,Pacific,WA,Truck,0,0,0,"7,616","7,616",0.00
January 31 2019,Pend Oreille,WA,Truck,0,0,0,"5,742","5,742",0.00
